indicator_id;indicator_name;iso3;country_name;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;9999;;indicator_id,;indicator_name,;iso3,;country_name,;1990,;1991,;1992,;1993,;1994,;1995,;1996,;1997,;1998,;1999,;2000,;2001,;2002,;2003,;2004,;2005,;2006,;2007,;2008,;2009,;2010,;2011,;2012,;2013,;2014,;2015,;2016,;2017,;9999;indicator_id,indicator_name,iso3,country_name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,9999
137506;Human Development Index (HDI);AFG;Afghanistan;;;;;;;;;;;;;0.373;0.383;0.398;0.408;0.417;0.429;0.437;0.453;0.463;0.471;0.482;0.487;0.491;0.493;0.494;0.498;0.498;;137506,;Human Development Index (HDI),;AFG,;Afghanistan,;,;,;,;,;,;,;,;,;,;,;,;,;0.373,;0.383,;0.398,;0.408,;0.417,;0.429,;0.437,;0.453,;0.463,;0.471,;0.482,;0.487,;0.491,;0.493,;0.494,;0.498,;0.498;137506,Human Development Index (HDI),AFG,Afghanistan,,,,,,,,,,,,,0.373,0.383,0.398,0.408,0.429,0.437,0.453,0.463,0.471,0.482,0.487,0.491,0.493,0.494,0.498,0.498
137506;Human Development Index (HDI);ALB;Albania;0.645;0.626;0.61;0.613;0.619;0.632;0.641;0.641;0.652;0.662;0.669;0.676;0.682;0.689;0.694;0.704;0.711;0.72;0.724;0.729;0.741;0.752;0.767;0.771;0.773;0.776;0.782;0.785;0.785;;137506,;Human Development Index (HDI),;ALB,;Albania,;0.645,;0.626,;0.61,;0.613,;0.619,;0.632,;0.641,;0.641,;0.652,;0.662,;0.669,;0.676,;0.682,;0.689,;0.694,;0.704,;0.711,;0.72,;0.724,;0.729,;0.741,;0.752,;0.767,;0.771,;0.773,;0.776,;0.782,;0.785,;0.785;137506,Human Development Index (HDI),ALB,Albania,0.645,0.626,0.61,0.613,0.619,0.632,0.641,0.641,0.652,0.662,0.669,0.676,0.682,0.689,0.694,0.704,0.72,0.724,0.729,0.741,0.752,0.767,0.771,0.773,0.776,0.782,0.785,0.785
137506;Human Development Index (HDI);DZA;Algeria;0.577;0.581;0.587;0.591;0.595;0.6;0.608;0.617;0.627;0.636;0.644;0.653;0.664;0.674;0.684;0.692;0.698;0.707;0.709;0.719;0.729;0.736;0.74;0.745;0.747;0.749;0.752;0.754;0.754;;137506,;Human Development Index (HDI),;DZA,;Algeria,;0.577,;0.581,;0.587,;0.591,;0.595,;0.6,;0.608,;0.617,;0.627,;0.636,;0.644,;0.653,;0.664,;0.674,;0.684,;0.692,;0.698,;0.707,;0.709,;0.719,;0.729,;0.736,;0.74,;0.745,;0.747,;0.749,;0.752,;0.754,;0.754;137506,Human Development Index (HDI),DZA,Algeria,0.577,0.581,0.587,0.591,0.595,0.6,0.608,0.617,0.627,0.636,0.644,0.653,0.664,0.674,0.684,0.692,0.707,0.709,0.719,0.729,0.736,0.74,0.745,0.747,0.749,0.752,0.754,0.754
137506;Human Development Index (HDI);AND;Andorra;;;;;;;;;;;0.759;0.767;0.78;0.82;0.826;0.819;0.829;0.829;0.831;0.83;0.828;0.827;0.849;0.85;0.853;0.854;0.856;0.858;0.858;;137506,;Human Development Index (HDI),;AND,;Andorra,;,;,;,;,;,;,;,;,;,;,;0.759,;0.767,;0.78,;0.82,;0.826,;0.819,;0.829,;0.829,;0.831,;0.83,;0.828,;0.827,;0.849,;0.85,;0.853,;0.854,;0.856,;0.858,;0.858;137506,Human Development Index (HDI),AND,Andorra,,,,,,,,,,,0.759,0.767,0.78,0.82,0.826,0.819,0.829,0.831,0.83,0.828,0.827,0.849,0.85,0.853,0.854,0.856,0.858,0.858
137506;Human Development Index (HDI);AGO;Angola;;;;;;;;;;0.374;0.387;0.401;0.418;0.429;0.442;0.455;0.471;0.492;0.502;0.522;0.52;0.534;0.543;0.554;0.564;0.572;0.577;0.581;0.581;;137506,;Human Development Index (HDI),;AGO,;Angola,;,;,;,;,;,;,;,;,;,;0.374,;0.387,;0.401,;0.418,;0.429,;0.442,;0.455,;0.471,;0.492,;0.502,;0.522,;0.52,;0.534,;0.543,;0.554,;0.564,;0.572,;0.577,;0.581,;0.581;137506,Human Development Index (HDI),AGO,Angola,,,,,,,,,,0.374,0.387,0.401,0.418,0.429,0.442,0.455,0.492,0.502,0.522,0.52,0.534,0.543,0.554,0.564,0.572,0.577,0.581,0.581
137506;Human Development Index (HDI);ATG;Antigua and Barbuda;;;;;;;;;;;;;;;;0.766;0.772;0.778;0.777;0.77;0.766;0.762;0.765;0.768;0.77;0.775;0.778;0.78;0.78;;137506,;Human Development Index (HDI),;ATG,;Antigua and Barbuda,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;0.766,;0.772,;0.778,;0.777,;0.77,;0.766,;0.762,;0.765,;0.768,;0.77,;0.775,;0.778,;0.78,;0.78;137506,Human Development Index (HDI),ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,0.766,0.778,0.777,0.77,0.766,0.762,0.765,0.768,0.77,0.775,0.778,0.78,0.78
137506;Human Development Index (HDI);ARG;Argentina;0.704;0.713;0.72;0.725;0.728;0.731;0.738;0.746;0.753;0.764;0.771;0.776;0.769;0.775;0.78;0.782;0.787;0.792;0.795;0.799;0.813;0.819;0.818;0.819;0.82;0.822;0.822;0.825;0.825;;137506,;Human Development Index (HDI),;ARG,;Argentina,;0.704,;0.713,;0.72,;0.725,;0.728,;0.731,;0.738,;0.746,;0.753,;0.764,;0.771,;0.776,;0.769,;0.775,;0.78,;0.782,;0.787,;0.792,;0.795,;0.799,;0.813,;0.819,;0.818,;0.819,;0.82,;0.822,;0.822,;0.825,;0.825;137506,Human Development Index (HDI),ARG,Argentina,0.704,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.771,0.776,0.769,0.775,0.78,0.782,0.792,0.795,0.799,0.813,0.819,0.818,0.819,0.82,0.822,0.822,0.825,0.825
137506;Human Development Index (HDI);ARM;Armenia;0.631;0.628;0.58;0.588;0.599;0.605;0.612;0.623;0.636;0.642;0.647;0.652;0.663;0.672;0.68;0.693;0.706;0.72;0.727;0.724;0.728;0.731;0.737;0.742;0.745;0.748;0.749;0.755;0.755;;137506,;Human Development Index (HDI),;ARM,;Armenia,;0.631,;0.628,;0.58,;0.588,;0.599,;0.605,;0.612,;0.623,;0.636,;0.642,;0.647,;0.652,;0.663,;0.672,;0.68,;0.693,;0.706,;0.72,;0.727,;0.724,;0.728,;0.731,;0.737,;0.742,;0.745,;0.748,;0.749,;0.755,;0.755;137506,Human Development Index (HDI),ARM,Armenia,0.631,0.628,0.58,0.588,0.599,0.605,0.612,0.623,0.636,0.642,0.647,0.652,0.663,0.672,0.68,0.693,0.72,0.727,0.724,0.728,0.731,0.737,0.742,0.745,0.748,0.749,0.755,0.755
137506;Human Development Index (HDI);AUS;Australia;0.866;0.867;0.868;0.872;0.875;0.883;0.886;0.889;0.892;0.895;0.898;0.9;0.903;0.904;0.907;0.908;0.911;0.915;0.92;0.921;0.923;0.925;0.929;0.931;0.933;0.936;0.938;0.939;0.939;;137506,;Human Development Index (HDI),;AUS,;Australia,;0.866,;0.867,;0.868,;0.872,;0.875,;0.883,;0.886,;0.889,;0.892,;0.895,;0.898,;0.9,;0.903,;0.904,;0.907,;0.908,;0.911,;0.915,;0.92,;0.921,;0.923,;0.925,;0.929,;0.931,;0.933,;0.936,;0.938,;0.939,;0.939;137506,Human Development Index (HDI),AUS,Australia,0.866,0.867,0.868,0.872,0.875,0.883,0.886,0.889,0.892,0.895,0.898,0.9,0.903,0.904,0.907,0.908,0.915,0.92,0.921,0.923,0.925,0.929,0.931,0.933,0.936,0.938,0.939,0.939
137506;Human Development Index (HDI);AUT;Austria;0.795;0.8;0.805;0.807;0.813;0.817;0.82;0.824;0.835;0.834;0.838;0.848;0.838;0.842;0.849;0.855;0.861;0.881;0.884;0.886;0.895;0.897;0.899;0.897;0.901;0.903;0.906;0.908;0.908;;137506,;Human Development Index (HDI),;AUT,;Austria,;0.795,;0.8,;0.805,;0.807,;0.813,;0.817,;0.82,;0.824,;0.835,;0.834,;0.838,;0.848,;0.838,;0.842,;0.849,;0.855,;0.861,;0.881,;0.884,;0.886,;0.895,;0.897,;0.899,;0.897,;0.901,;0.903,;0.906,;0.908,;0.908;137506,Human Development Index (HDI),AUT,Austria,0.795,0.8,0.805,0.807,0.813,0.817,0.82,0.824,0.835,0.834,0.838,0.848,0.838,0.842,0.849,0.855,0.881,0.884,0.886,0.895,0.897,0.899,0.897,0.901,0.903,0.906,0.908,0.908
